sample-id	total-input-reads	total-retained-reads	reads-truncated	reads-too-short-after-truncation	reads-exceeding-maximum-ambiguous-bases
#q2:types	numeric	numeric	numeric	numeric	numeric
DB38.001	24993	24862	1204	131	0
DB38.002	12745	12687	1356	58	0
DB38.003	11616	11551	816	65	0
DB38.004	37720	37572	1599	148	0
DB38.005	22670	22573	1639	97	0
DB38.006	25929	25812	2617	117	0
DB38.007	6475	6430	415	45	0
DB38.008	16478	16395	842	83	0
DB38.009	13980	13913	686	67	0
DB38.010	18615	18508	985	107	0
DB38.011	19813	19721	982	92	0
DB38.012	13680	13615	675	65	0
DB38.013	16849	16753	1291	96	0
DB38.014	21684	21580	994	104	0
DB38.015	17948	17857	1048	91	0
DB38.016	23071	22943	1307	128	0
DB38.017	22232	22135	1311	97	0
DB38.018	13408	13349	1865	59	0
DB38.019	16686	16601	1187	85	0
DB38.020	16806	16715	826	91	0
DB38.021	18360	18248	1098	112	0
DB38.022	34055	33856	1616	199	0
DB38.023	21774	21679	1171	95	0
DB38.024	27964	27813	1629	151	0
DB38.025	19230	19144	789	86	0
DB38.026	21145	21059	847	85	1
DB38.027	13863	13786	983	76	1
DB38.028	9305	9257	459	48	0
DB38.029	15832	15762	756	70	0
DB38.030	18215	18135	763	80	0
DB38.031	15401	15341	728	60	0
DB38.032	14218	14137	1000	81	0
DB38.033	37531	37358	2668	173	0
DB38.034	9540	9491	630	49	0
DB38.035	23380	23273	884	107	0
DB38.036	9672	9628	619	44	0
DB38.037	16361	16283	885	78	0
DB38.038	10771	10698	670	73	0
DB38.039	32369	32199	1829	170	0
DB38.040	28620	28472	1433	148	0
DB38.041	180	178	18	2	0
DB38.042	23943	23786	1316	157	0
DB38.043	26508	26374	1462	134	0
DB38.044	803	800	62	3	0
DB38.045	17795	17703	953	92	0
DB38.046	30868	30698	1834	170	0
DB38.047	17851	17752	1008	99	0
DB38.048	28868	28737	1643	131	0
DB38.049	87	86	10	1	0
DB38.050	10584	10522	771	62	0
DB38.051	20434	20340	854	94	0
DB38.052	1570	1553	84	17	0
DB38.053	194	193	14	1	0
DB38.054	6416	6386	424	30	0
