sample ID	forward sequence count
DB38.001	24993
DB38.002	12745
DB38.003	11616
DB38.004	37720
DB38.005	22670
DB38.006	25929
DB38.007	6475
DB38.008	16478
DB38.009	13980
DB38.010	18615
DB38.011	19813
DB38.012	13680
DB38.013	16849
DB38.014	21684
DB38.015	17948
DB38.016	23071
DB38.017	22232
DB38.018	13408
DB38.019	16686
DB38.020	16806
DB38.021	18360
DB38.022	34055
DB38.023	21774
DB38.024	27964
DB38.025	19230
DB38.026	21145
DB38.027	13863
DB38.028	9305
DB38.029	15832
DB38.030	18215
DB38.031	15401
DB38.032	14218
DB38.033	37531
DB38.034	9540
DB38.035	23380
DB38.036	9672
DB38.037	16361
DB38.038	10771
DB38.039	32369
DB38.040	28620
DB38.041	180
DB38.042	23943
DB38.043	26508
DB38.044	803
DB38.045	17795
DB38.046	30868
DB38.047	17851
DB38.048	28868
DB38.049	87
DB38.050	10584
DB38.051	20434
DB38.052	1570
DB38.053	194
DB38.054	6416
DB38.055	602
DB38.056	27566
DB38.057	161
DB38.058	18278
DB38.059	2961
DB38.060	34693
DB38.061	18478
DB38.062	25064
DB38.063	9400
DB38.064	6300
DB38.065	13554
DB38.066	20908
DB38.067	37426
DB38.068	38233
DB38.069	777
DB38.070	125
DB38.071	39436
DB38.072	14132
DB38.073	944
DB38.074	1425
DB38.075	1897
DB38.076	110
DB38.077	937
DB38.078	48785
DB38.079	20
DB38.080	32158
DB38.081	15893
DB38.082	851
DB38.083	38926
DB38.084	104
DB38.085	27259
DB38.086	48930
DB38.087	7106
DB38.088	27302
DB38.089	19947
DB38.090	2729
DB38.091	7620
DB38.092	24427
DB38.093	18706
DB38.094	4983
DB38.095	41392
DB38.096	12085
DB38.097	17970
DB38.098	11591
DB38.099	17076
DB38.100	4271
DB38.101	11890
DB38.102	13211
DB38.103	20802
DB38.104	13466
DB38.105	21318
DB38.106	13076
DB38.107	1362
DB38.108	8201
DB38.109	8384
DB38.110	18843
DB38.111	17166
DB38.112	3606
DB38.113	15530
DB38.114	7841
DB38.115	17976
DB38.116	24177
DB38.117	21810
DB38.118	43197
DB38.119	123
DB38.120	26460
DB38.122	7369
DB38.123	10654
DB38.124	22675
DB38.125	3690
DB38.126	5103
DB38.127	11494
DB38.128	9532
DB38.129	9013
DB38.130	29085
DB38.131	7174
DB38.132	47857
DB38.133	19087
DB38.134	9279
DB38.135	22478
DB38.136	8494
DB38.137	17194
DB38.138	1950
DB38.139	17698
DB38.140	38115
DB38.141	19083
DB38.142	7818
DB38.143	12199
DB38.144	10252
DB38.145	18109
DB38.146	8343
DB38.147	9747
DB38.148	20443
DB38.149	36202
DB38.150	13780
DB38.151	6563
DB38.152	17649
DB38.153	19160
DB38.154	21935
DB38.155	12051
DB38.156	32009
DB38.157	12318
DB38.158	16721
DB38.159	20544
DB38.160	14175
DB38.161	15420
DB38.162	19307
DB38.163	9500
DB38.164	391
DB38.165	28970
DB38.166	13640
DB38.167	17915
DB38.168	249
DB38.169	17050
DB38.170	24098
DB38.171	18819
DB38.172	25340
DB38.173	63462
DB38.174	8499
DB38.175	17342
DB38.176	35892
DB38.177	13069
DB38.178	9211
